,vote_type,proposal_id,title,voted_choice,voting_power
125,token_house,0x5efa2c3fe01997cfc5e6aef5911ccb46f6ea1a383d287cc1289671c86bfcd158,Proposal J: Governance Fund Phase 1 - Ooki Protocol,FOR,417235.01155027776
126,token_house,0x5efa2c3fe01997cfc5e6aef5911ccb46f6ea1a383d287cc1289671c86bfcd158,Proposal J: Governance Fund Phase 1 - Ooki Protocol,ABSTAIN,43631.85923263375
127,token_house,0x61860171c5cbbd4ebec5e4a778d58f979e13e7f4657998defcee5fe46db3f54f,Season 2: Cycle 8: Symphony ,AGAINST,11966307.704316646
128,token_house,0x61860171c5cbbd4ebec5e4a778d58f979e13e7f4657998defcee5fe46db3f54f,Season 2: Cycle 8: Symphony ,ABSTAIN,3510296.2970365826
129,token_house,0x61860171c5cbbd4ebec5e4a778d58f979e13e7f4657998defcee5fe46db3f54f,Season 2: Cycle 8: Symphony ,FOR,142128.06087840078
130,token_house,0x625e70dcff35be042778684d66cb3e24efd35bdc4222d263047afd2699188fb6,Proposal A: Governance Phase 1 - Superfluid ,FOR,16364376.713439858
131,token_house,0x625e70dcff35be042778684d66cb3e24efd35bdc4222d263047afd2699188fb6,Proposal A: Governance Phase 1 - Superfluid ,AGAINST,478707.2653536326
132,token_house,0x625e70dcff35be042778684d66cb3e24efd35bdc4222d263047afd2699188fb6,Proposal A: Governance Phase 1 - Superfluid ,ABSTAIN,176114.71090638445
133,token_house,0x638f2adbeded3a0409ea238610753a86c78d4c4cc5569565139c350f58ba944b,Season 2: Cycle 7: Sushiswap,FOR,12131023.061622074
134,token_house,0x638f2adbeded3a0409ea238610753a86c78d4c4cc5569565139c350f58ba944b,Season 2: Cycle 7: Sushiswap,ABSTAIN,304047.691447833
135,token_house,0x638f2adbeded3a0409ea238610753a86c78d4c4cc5569565139c350f58ba944b,Season 2: Cycle 7: Sushiswap,AGAINST,154934.6442153238
136,token_house,0x6951c9f971fc7cf939ef9f3b6ce49494a08c53bd617700b5ea46a497c3693c4c,Season 2: Cycle 7: Safe,ABSTAIN,6592910.490348103
