,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,proposalId,reason,support,voter,weight
10,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x621a7810991f2b5e6769b9c594523a4b4a0b427c09a64a0e662fd25b047e6c2b,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,0xcdf27f107725988f2261ce2256bdfcde8b382b10,12,2024-05-26 05:56:29.000 UTC,120552106.0,2024-05-26,23296680451920040311284556255465306513981293154669425902294655221457403608367,Voting FOR the proposal. ,1,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,121073710529767255764
11,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xf7ab72efb723b71dd00fa7e347df04abdd0b7a0fc5df6f01ab774498005511fa,0xe1b1cd0cd1181fc8d65947c52f0894ddd6548f21,0xcdf27f107725988f2261ce2256bdfcde8b382b10,30,2024-05-26 05:56:49.000 UTC,120552116.0,2024-05-26,105090569675606228680479820654354019470447822380910214626164858605991232311940,,1,0xe1b1cd0cd1181fc8d65947c52f0894ddd6548f21,1000088897751513946
12,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xf82d4abac8332343ba6d00341abc4495a88b103c9acab2fa27cf13633f6a32f1,0x7d357f4f114d3e912bbba93fcf4e858450f575de,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0,2024-05-26 05:56:51.000 UTC,120552117.0,2024-05-26,72085170435228531173144599119267762084652443676555508407874836206178427511368,,1,0x7d357f4f114d3e912bbba93fcf4e858450f575de,22291662964702950907
13,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x7b111d7b8a0d1006f9df0120874a3ee701e28a0b432c7963937b3e3a7cceba69,0xe711d6b006674a271866553a22acd3570dbf46ef,0xcdf27f107725988f2261ce2256bdfcde8b382b10,29,2024-05-26 05:57:19.000 UTC,120552131.0,2024-05-26,4537769538885163906898768401836322976193114338273264147746088063279656611139,,1,0xe711d6b006674a271866553a22acd3570dbf46ef,1101293003778038014808
14,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x0a9d466fe12a7b87e495ea16607afbf5046cbc250a9ca64c26dc25bd5a4054f1,0xe711d6b006674a271866553a22acd3570dbf46ef,0xcdf27f107725988f2261ce2256bdfcde8b382b10,113,2024-05-26 05:57:37.000 UTC,120552140.0,2024-05-26,23296680451920040311284556255465306513981293154669425902294655221457403608367,,1,0xe711d6b006674a271866553a22acd3570dbf46ef,1101293003778038014808
15,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x0d7e15de97bc08d3437c8301dc5a99008e8d42321329e677d72415ee803a27b7,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,0xcdf27f107725988f2261ce2256bdfcde8b382b10,54,2024-05-26 05:57:51.000 UTC,120552147.0,2024-05-26,46662599590868619415724059715206858415123913604990481279137083354870809650669,,1,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,121073710529767255764
16,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xb8e2a88396d672c6e26b1ac6319b8772fe6cc1a00a6e2b10bcf0d730cb9494f2,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,0xcdf27f107725988f2261ce2256bdfcde8b382b10,15,2024-05-26 05:58:17.000 UTC,120552160.0,2024-05-26,105090569675606228680479820654354019470447822380910214626164858605991232311940,,1,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,121073710529767255764
17,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x23991b6331026eb4b7e764d773bd569f22088bf61f05238b414cbd33a3293b65,0xe711d6b006674a271866553a22acd3570dbf46ef,0xcdf27f107725988f2261ce2256bdfcde8b382b10,7,2024-05-26 05:58:27.000 UTC,120552165.0,2024-05-26,46662599590868619415724059715206858415123913604990481279137083354870809650669,,1,0xe711d6b006674a271866553a22acd3570dbf46ef,1101293003778038014808
18,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x1b2c0201d9b250323095414d3c74dd6d71e12bd0d22d21500f4bceae823b13c9,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,0xcdf27f107725988f2261ce2256bdfcde8b382b10,5,2024-05-26 05:58:45.000 UTC,120552174.0,2024-05-26,47257038716514883626179774712509684309799801257166588609178192779726195852111,,2,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,121073710529767255764
19,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xc0839ba59d5d6ab3873271c677e9c373747e78c70e890ecc0a529819486000e3,0xe711d6b006674a271866553a22acd3570dbf46ef,0xcdf27f107725988f2261ce2256bdfcde8b382b10,4,2024-05-26 05:58:45.000 UTC,120552174.0,2024-05-26,105090569675606228680479820654354019470447822380910214626164858605991232311940,,1,0xe711d6b006674a271866553a22acd3570dbf46ef,1101293003778038014808
